Domain Code,Domain,AreaCode,AreaName,ElementCode,ElementName,ItemCode,ItemName,Year,Value,Flag,FlagD
"CL","Food Supply - Livestock and Fish Primary Equivalent","2","Afghanistan","645","Food supply quantity (kg/capita/yr)","2732","Mutton & Goat Meat","2000","8.24","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","2","Afghanistan","645","Food supply quantity (kg/capita/yr)","2734","Poultry Meat","2000","0.64","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","2","Afghanistan","645","Food supply quantity (kg/capita/yr)","2735","Meat, Other","2000","0.50","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","2","Afghanistan","645","Food supply quantity (kg/capita/yr)","2736","Offals, Edible","2000","2.42","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","2","Afghanistan","645","Food supply quantity (kg/capita/yr)","2737","Fats, Animals, Raw","2000","0.83","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","2","Afghanistan","645","Food supply quantity (kg/capita/yr)","2738","Milk, Whole","2000","41.14","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","2","Afghanistan","645","Food supply quantity (kg/capita/yr)","2740","Butter, Ghee","2000","1.53","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","2","Afghanistan","645","Food supply quantity (kg/capita/yr)","2741","Cheese","2000","1.14","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","2","Afghanistan","645","Food supply quantity (kg/capita/yr)","2743","Cream","2000","0.00","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","2","Afghanistan","645","Food supply quantity (kg/capita/yr)","2744","Eggs","2000","0.59","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","2","Afghanistan","645","Food supply quantity (kg/capita/yr)","2745","Honey","2000","0.22","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","2","Afghanistan","645","Food supply quantity (kg/capita/yr)","2761","Freshwater Fish","2000","0.06","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","2","Afghanistan","645","Food supply quantity (kg/capita/yr)","2848","Milk - Excluding Butter","2000","73.23","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","2","Afghanistan","645","Food supply quantity (kg/capita/yr)","2943","Meat","2000","15.51","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","2","Afghanistan","645","Food supply quantity (kg/capita/yr)","2945","Offals","2000","2.42","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","2","Afghanistan","645","Food supply quantity (kg/capita/yr)","2946","Animal fats","2000","2.35","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","2","Afghanistan","645","Food supply quantity (kg/capita/yr)","2948","Milk - Excluding Butter","2000","73.23","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","2","Afghanistan","645","Food supply quantity (kg/capita/yr)","2949","Eggs","2000","0.59","Fc","Calculated data"
