,Ricebran Oil,Plantains,"Sugar, Raw Equivalent","Beverages, Alcoholic",Roots & Tuber Dry Equiv,Olives (including preserved),Cloves,"Fats, Animals, Raw",Millet and products,Coconuts - Incl Copra,Eggs,"Vegetables, Other",Sesame seed,"Marine Fish, Other",Wine,Pigmeat,Apples and products,Rape and Mustard Oil,"Fish, Liver Oil",Maize and products,"Sweeteners, Other","Fish, Body Oil",Honey,Demersal Fish,Groundnuts (Shelled Eq),Barley and products,Maize Germ Oil,Beer,Groundnut Oil,Sugar non-centrifugal,Pineapples and products,"Pulses, Other and products",Sugar (Raw Equivalent),"Meat, Other",Molasses,Pimento,Palm Oil,"Oilcrops, Other",Dates,Oats,Soyabeans,Freshwater Fish,Beans,Sugar beet,Cephalopods,Mutton & Goat Meat,Sesameseed Oil,Grapes and products (excl wine),Rice (Paddy Equivalent),"Beverages, Fermented",Bovine Meat,"Molluscs, Other",Aquatic Plants,Cottonseed Oil,Onions,Coffee and products,"Roots, Other",Sorghum and products,Meat Meal,"Sugar, Refined Equiv",Infant food,Whey,Groundnuts (in Shell Eq),Sunflower seed,"Cereals, Other",Pepper,Crustaceans,Peas,"Milk, Whole",Nuts and products,Cocoa Beans and products,Wheat and products,Cassava and products,Sugar cane,Cheese,"Aquatic Animals, Others",Sunflowerseed Oil,"Offals, Edible",Palmkernel Oil,Cream,Potatoes and products,"Fruits, Other",Yams,"Citrus, Other","Lemons, Limes and products",Poultry Meat,Tea (including mate),Soyabean Oil,Grapefruit and products,Rye and products,Olive Oil,Coconut Oil,Milk - Excluding Butter,Tomatoes and products,"Oilcrops Oil, Other",Pelagic Fish,"Butter, Ghee",Bananas,"Spices, Other","Meat, Aquatic Mammals",Sweet potatoes,"Oranges, Mandarines",Rice (Milled Equivalent)
84,0.0,6.92777777778,58.1055555556,7.66888888889,5.51666666667,0.0355555555556,0.00222222222222,1.81444444444,0.0,1.16,10.7866666667,26.4811111111,0.166666666667,1.25555555556,0.69,6.35666666667,2.69222222222,0.533333333333,0.0,8.63444444444,1.03,0.0,0.463333333333,0.691111111111,0.444444444444,2.57555555556,0.18,11.6366666667,0.0,3.23111111111,79.7877777778,0.312222222222,53.8422222222,0.00222222222222,0.0,0.443333333333,6.96,0.0,0.0244444444444,0.791111111111,2.53666666667,1.30444444444,8.71,0.0,0.262222222222,0.00888888888889,0.03,1.29444444444,76.9711111111,0.0655555555556,19.2666666667,0.31,0.0,0.0255555555556,5.32222222222,5.76888888889,7.26,1.21111111111,0.0,49.5333333333,0.182222222222,0.00444444444444,0.635555555556,0.0777777777778,0.204444444444,0.343333333333,0.546666666667,0.102222222222,135.66,0.423333333333,0.283333333333,43.0344444444,2.31,0.416666666667,1.83333333333,0.0155555555556,0.134444444444,2.77,0.175555555556,0.0655555555556,15.2844444444,28.4266666667,0.105555555556,0.0422222222222,0.314444444444,16.9522222222,0.0788888888889,5.32,4.22333333333,0.0,0.08,0.184444444444,156.926666667,6.29444444444,0.0288888888889,0.675555555556,1.04111111111,3.28111111111,1.69333333333,0.0,0.0177777777778,19.1588888889,51.34
85,0.0,0.04,42.0422222222,6.43444444444,14.6877777778,0.586666666667,0.00888888888889,6.27888888889,0.0633333333333,0.865555555556,13.2866666667,68.8666666667,0.0133333333333,1.05777777778,38.1911111111,47.1488888889,26.5044444444,3.34666666667,0.00333333333333,8.06,6.88555555556,0.0922222222222,0.808888888889,6.97444444444,0.74,0.75,0.494444444444,91.8611111111,0.998888888889,0.0,2.23222222222,0.311111111111,35.1533333333,3.09666666667,0.0,0.101111111111,1.35777777778,0.0666666666667,0.102222222222,1.63444444444,0.267777777778,2.65,0.476666666667,0.0,0.274444444444,2.08444444444,0.0266666666667,6.16777777778,4.78,3.87111111111,21.8066666667,3.12666666667,0.0,0.0333333333333,5.12666666667,6.96333333333,0.00444444444444,0.0,0.0,32.3433333333,0.0633333333333,0.0311111111111,1.05777777778,0.00777777777778,0.586666666667,0.16,1.65222222222,0.792222222222,83.3966666667,4.11777777778,2.77666666667,78.6188888889,0.0,0.0,17.5366666667,0.0455555555556,3.94222222222,5.80888888889,0.323333333333,5.27666666667,73.3233333333,29.6477777778,0.0,0.49,1.85333333333,16.9633333333,0.302222222222,3.72888888889,3.23555555556,6.70444444444,0.571111111111,0.707777777778,254.368888889,17.4933333333,1.59222222222,4.60222222222,6.06,9.40777777778,0.233333333333,0.0,0.0844444444444,31.5477777778,3.18777777778
86,0.0,7.07333333333,44.1511111111,15.2244444444,5.01888888889,0.0244444444444,0.00111111111111,5.08555555556,0.0,0.34,3.16111111111,102.796666667,0.00666666666667,8.42888888889,4.76555555556,23.0955555556,12.6044444444,0.0,0.0,3.82333333333,7.19888888889,0.0,0.175555555556,4.90666666667,0.504444444444,7.36777777778,0.0544444444444,17.2033333333,0.0122222222222,0.947777777778,1.06333333333,1.47777777778,36.9511111111,0.901111111111,0.0,0.0,0.01,0.08,0.00333333333333,0.0944444444444,0.00888888888889,0.317777777778,0.657777777778,0.0,0.0633333333333,5.09555555556,0.00444444444444,5.35333333333,32.7388888889,0.461111111111,25.1288888889,1.02,0.0,0.0,2.31777777778,2.19555555556,0.405555555556,1.65888888889,0.0,33.9944444444,0.463333333333,0.612222222222,0.72,0.0,5.27111111111,0.157777777778,8.21333333333,0.467777777778,51.6444444444,1.36777777778,0.653333333333,45.1122222222,2.10222222222,0.01,4.90111111111,0.01,0.02,2.96444444444,0.0,0.0144444444444,17.4722222222,65.1011111111,11.82,0.0,13.0466666667,40.8933333333,0.401111111111,0.0644444444444,9.81555555556,0.0866666666667,0.0366666666667,0.0333333333333,98.3755555556,16.3466666667,4.44222222222,5.10444444444,1.78888888889,10.8255555556,0.523333333333,0.0,3.04555555556,45.4888888889,21.8366666667
87,0.0,0.00888888888889,43.5133333333,8.56888888889,25.4244444444,0.0166666666667,0.00222222222222,4.15333333333,0.0,1.39555555556,7.84555555556,58.6366666667,0.0333333333333,0.0233333333333,6.95,35.2577777778,13.3966666667,6.27444444444,0.11,15.7966666667,5.18222222222,0.0,0.415555555556,8.80111111111,0.546666666667,3.09888888889,0.343333333333,172.488888889,0.128888888889,0.0,0.645555555556,0.151111111111,38.3311111111,0.4,0.0,0.0288888888889,0.201111111111,0.00111111111111,0.04,3.13888888889,0.0333333333333,2.31777777778,0.841111111111,0.00111111111111,0.0555555555556,9.48,0.0233333333333,7.77333333333,4.23111111111,1.03666666667,18.5877777778,1.85333333333,0.0,0.0155555555556,6.77111111111,1.90111111111,0.0,0.0,0.0,35.2644444444,0.198888888889,0.0233333333333,0.783333333333,0.02,2.04888888889,0.0855555555556,2.01333333333,1.49333333333,180.363333333,0.823333333333,1.48111111111,103.14,0.0,0.0,7.58222222222,0.00333333333333,2.83444444444,13.47,0.175555555556,7.94,127.122222222,16.6766666667,0.0,1.01222222222,1.14444444444,26.7433333333,3.06222222222,1.77777777778,1.29666666667,0.358888888889,0.372222222222,3.33222222222,266.948888889,9.33333333333,0.0177777777778,4.23666666667,3.56222222222,9.13,0.263333333333,0.0,0.0422222222222,14.7477777778,2.82222222222
88,0.0,15.38,7.06,0.0155555555556,65.4355555556,0.0,0.0,0.214444444444,35.1044444444,0.438888888889,3.19333333333,44.6455555556,0.0933333333333,0.353333333333,0.0177777777778,1.23333333333,0.0,0.00444444444444,0.0,28.41,0.212222222222,0.0,0.0,1.48777777778,1.40111111111,0.0277777777778,0.0,7.48222222222,3.76444444444,0.16,6.72111111111,8.85111111111,6.68444444444,1.10777777778,0.0,0.391111111111,6.05444444444,1.46333333333,0.0,0.00111111111111,1.88333333333,1.25555555556,0.0,0.0,0.0,2.2,0.0844444444444,0.00444444444444,30.9955555556,56.87,2.42888888889,0.00888888888889,0.0,0.173333333333,5.87,0.0355555555556,3.65333333333,42.5988888889,0.0,6.15222222222,0.00666666666667,1.06111111111,2.00111111111,0.0,0.537777777778,0.0,0.164444444444,0.0,3.16555555556,2.30111111111,0.0944444444444,10.6266666667,151.506666667,0.523333333333,0.0655555555556,0.0,0.00222222222222,0.84,1.96444444444,0.0,0.866666666667,21.8577777778,73.7288888889,22.55,0.172222222222,1.51111111111,0.0777777777778,0.0288888888889,0.0655555555556,0.0288888888889,0.0,0.105555555556,5.85222222222,5.33444444444,1.30222222222,3.45,0.0888888888889,1.61666666667,0.778888888889,0.0,7.74666666667,0.0,20.6733333333
89,0.0433333333333,44.6055555556,23.06,1.18333333333,7.90888888889,0.00777777777778,0.00222222222222,2.95777777778,0.0,0.608888888889,4.06555555556,18.8666666667,0.00333333333333,0.401111111111,0.557777777778,8.35444444444,3.42888888889,0.0511111111111,0.00333333333333,4.42111111111,0.714444444444,0.0,0.0722222222222,0.944444444444,0.354444444444,2.18777777778,0.0711111111111,13.33,0.00777777777778,0.0,3.72222222222,1.57666666667,22.3455555556,0.732222222222,0.0,0.0,9.68444444444,0.331111111111,0.0,2.06777777778,0.0,0.278888888889,1.98555555556,0.0622222222222,0.0111111111111,0.677777777778,0.0,0.64,79.6055555556,0.0322222222222,12.6466666667,0.0177777777778,0.0,0.121111111111,0.00333333333333,2.96111111111,0.264444444444,0.0,0.0,20.5588888889,0.0633333333333,0.0333333333333,0.505555555556,0.0322222222222,0.0444444444444,0.0722222222222,2.11,0.885555555556,98.2188888889,0.0411111111111,1.34555555556,36.0922222222,5.47555555556,3.02444444444,1.60777777778,0.00111111111111,0.165555555556,3.11222222222,0.333333333333,0.0122222222222,30.8866666667,17.86,0.825555555556,2.38,1.43666666667,10.9122222222,0.0444444444444,4.05555555556,0.348888888889,0.00555555555556,0.0255555555556,0.257777777778,111.143333333,6.03,0.0,3.83888888889,0.837777777778,118.876666667,0.118888888889,0.0,0.0866666666667,10.5511111111,53.0966666667
90,0.0,0.0,37.69,13.6233333333,35.53,0.00111111111111,0.0,3.43333333333,0.101111111111,0.0155555555556,15.88,70.2544444444,0.0111111111111,2.75444444444,2.52777777778,27.7366666667,15.9811111111,1.50777777778,0.0,0.103333333333,0.22,0.0,0.366666666667,0.471111111111,0.0555555555556,5.26777777778,0.0244444444444,19.8733333333,0.0,0.0,0.03,0.00888888888889,37.4722222222,0.807777777778,0.0,0.0,0.168888888889,0.01,0.00111111111111,10.6533333333,0.0311111111111,0.757777777778,0.278888888889,0.0,0.00777777777778,0.342222222222,0.0,0.197777777778,2.53333333333,5.20222222222,27.6,0.00888888888889,0.0,0.0,6.04555555556,0.123333333333,0.0,0.0,0.0,34.4766666667,0.0,0.0144444444444,0.0788888888889,0.0444444444444,1.39444444444,0.01,0.103333333333,1.64333333333,138.324444444,1.14555555556,0.551111111111,68.3522222222,0.0,0.0,4.16777777778,0.0,4.60444444444,3.82888888889,0.00888888888889,0.894444444444,177.654444444,14.09,0.0,0.00555555555556,0.422222222222,8.52666666667,0.111111111111,0.122222222222,0.0388888888889,65.8555555556,0.0122222222222,0.0544444444444,224.347777778,9.56111111111,0.0166666666667,1.57333333333,5.65666666667,2.06222222222,0.0255555555556,0.0,0.0,2.17111111111,1.69111111111
91,0.0,0.0,25.3422222222,0.01,6.55777777778,0.826666666667,0.0,0.356666666667,2.58888888889,0.0144444444444,2.95555555556,43.6866666667,0.0388888888889,0.123333333333,0.01,0.00333333333333,2.28777777778,2.87444444444,0.0,4.88222222222,0.13,0.0,0.0588888888889,0.326666666667,0.00444444444444,19.0977777778,0.0122222222222,2.51888888889,0.274444444444,0.0,0.0122222222222,3.63666666667,25.2122222222,0.336666666667,0.0,0.263333333333,0.814444444444,0.0722222222222,10.1233333333,0.00111111111111,0.0,0.0144444444444,1.67555555556,0.0,0.03,6.03777777778,0.0,4.31666666667,2.07444444444,0.0,4.28777777778,0.0,0.0,0.923333333333,9.96,2.74888888889,0.0,0.124444444444,0.0,23.1955555556,0.0666666666667,0.0277777777778,0.00555555555556,0.0,0.168888888889,0.0311111111111,0.08,0.683333333333,63.4022222222,0.802222222222,0.246666666667,187.57,0.0,14.7,0.428888888889,0.0,7.39333333333,1.26111111111,0.0877777777778,0.00111111111111,32.7844444444,9.30222222222,0.412222222222,0.0111111111111,0.62,7.40666666667,0.224444444444,2.44444444444,0.0766666666667,0.0111111111111,1.19,0.132222222222,99.5711111111,24.8,0.434444444444,3.03555555556,0.661111111111,0.195555555556,0.0911111111111,0.0,1.25222222222,11.3588888889,1.38555555556
92,0.0,10.4888888889,38.8055555556,2.33444444444,3.72333333333,0.0211111111111,0.00111111111111,3.04111111111,0.0,6.87111111111,6.78222222222,20.9566666667,0.523333333333,0.375555555556,0.182222222222,2.36333333333,1.71444444444,0.0,0.01,83.3455555556,0.213333333333,0.0,0.253333333333,0.215555555556,0.3,0.0,0.0466666666667,15.8077777778,0.00222222222222,2.27222222222,1.91888888889,0.0111111111111,36.3188888889,0.0211111111111,0.0,0.0166666666667,1.34222222222,0.0,0.00222222222222,0.0766666666667,0.385555555556,0.603333333333,10.3533333333,0.0,0.00333333333333,0.02,0.00888888888889,0.695555555556,13.6588888889,0.0244444444444,6.33,0.155555555556,0.0,2.28222222222,1.34666666667,1.44333333333,6.54,20.9011111111,0.0,33.4122222222,0.232222222222,0.00444444444444,0.427777777778,0.0,0.0966666666667,0.01,0.116666666667,0.00111111111111,69.0877777778,0.243333333333,0.277777777778,32.4366666667,4.64,0.416666666667,1.26777777778,0.0355555555556,0.462222222222,1.04777777778,0.00666666666667,0.00222222222222,4.03888888889,17.0844444444,0.0855555555556,0.00333333333333,3.71222222222,7.72777777778,0.00444444444444,1.06,0.145555555556,0.00111111111111,0.164444444444,0.596666666667,81.1655555556,6.91444444444,0.337777777778,0.886666666667,0.101111111111,4.54555555556,0.08,0.0,0.0722222222222,13.4011111111,9.11111111111
93,0.0,0.0122222222222,44.0877777778,7.18888888889,16.9166666667,0.141111111111,0.00111111111111,3.89222222222,1.70333333333,0.673333333333,14.7777777778,56.6688888889,0.0111111111111,2.08,6.45333333333,45.7322222222,17.7622222222,10.7322222222,0.0,0.715555555556,3.91111111111,0.0,0.535555555556,2.41,0.496666666667,0.252222222222,0.00777777777778,143.824444444,0.224444444444,0.0,0.667777777778,0.727777777778,39.9077777778,3.18111111111,0.0,0.452222222222,0.298888888889,0.0455555555556,0.0255555555556,0.497777777778,0.226666666667,1.51555555556,0.183333333333,0.0,0.0522222222222,0.527777777778,0.00444444444444,4.27777777778,6.61444444444,0.115555555556,14.9388888889,0.0377777777778,0.0,0.0,10.46,3.00333333333,0.00222222222222,0.0,0.0,36.9588888889,0.0333333333333,0.0144444444444,0.71,0.0444444444444,0.694444444444,0.0688888888889,0.0788888888889,1.06444444444,54.2077777778,1.27444444444,1.74111111111,102.931111111,0.0,0.0,10.6955555556,0.00333333333333,1.93444444444,4.88888888889,0.00888888888889,1.99444444444,84.2722222222,17.5966666667,0.0,0.186666666667,1.57333333333,16.2866666667,0.311111111111,1.41555555556,0.995555555556,16.4977777778,0.04,0.02,193.331111111,9.61444444444,0.152222222222,2.96111111111,4.40111111111,9.87666666667,0.03,0.0,0.0,18.1044444444,4.11666666667
