,Potatoes and products,Animal Products,Apples and products,"Beverages, Alcoholic",Alcoholic Beverages,"Pulses, Other and products",Beer,Wine,Cocoa Beans and products,Stimulants,"Vegetables, Other",Coffee and products,Sunflowerseed Oil,Rice (Paddy Equivalent)
0,1.66,356.0,0.86,4.42,14.89,0.41,10.31,0.07,0.55,2.1,58.56,1.53,0.01,155.53
1,55.62,132.0,25.17,5.91,9.21,1.06,3.3,0.0,0.08,142.61,0.07,0.0,113.61,
